No,English,English antonym,Danish,Danish antonym
208,trustworthy,unreliable,troværdig,upålidelig
209,dependable,inconsistent,pålidelig,inkonsekvent
210,safe,dangerous,sikker,farlig
212,tight,loose,stram,løs
213,respect,disrespect,respekt,respektløshed
214,admiration,contempt,beundring,foragt
215,brittle,durable,skør,holdbar
216,flexible,inflexible,fleksibel,ufleksibel
217,neat,untidy,ryddelig,uordentlig
218,spotless,stained,pletfri,plettet
219,modest,boastful,beskeden,pralende
220,kind,cruel,venlig,grusom
221,sympathetic,indifferent,sympatisk,ligegyldig
222,caring,neglectful,omsorgsfuld,forsømmelig
223,loyal,treacherous,loyal,forræderisk
224,faithful,unfaithful,trofast,utro
225,sincere,hypocritical,oprigtig,hyklerisk
226,transparent,secretive,åben,hemmelighedsfuld
227,cheerful,melancholy,munter,melankolsk
228,jolly,somber,lystig,dyster
229,lively,dull,livlig,kedelig
230,vibrant,pale,levende,bleg
231,outgoing,reserved,udadvendt,reserveret
232,perceptive,obtuse,opmærksom,tungnem
233,insightful,shallow,indsigtsfuld,overfladisk
234,knowledgeable,ignorant,vidende,uvidende
235,learned,unschooled,lærd,uskolet
236,analytical,intuitive,analytisk,intuitiv
237,methodical,haphazard,metodisk,tilfældig
238,muscular,weak,muskuløs,svag
239,agile,clumsy,adræt,klodset
240,athletic,sedentary,atletisk,stillesiddende
241,energetic,lethargic,energisk,sløv
242,vigorous,feeble,kraftfuld,svagelig
243,shrill,deep,skinger,dyb
244,tingling,numb,prikkende,følelsesløs
245,itchy,smooth,kløende,glat
246,pungent,mild,skarp,mild
247,acrid,sweet,besk,sød
248,spicy,bland,stærk,mild
249,tart,mellow,syrlig,mild
250,momentary,eternal,kortvarig,evig
251,fleeting,lasting,flygtig,varig
252,transient,permanent,forbigående,permanent
253,ephemeral,enduring,flygtig,vedvarende
254,abrupt,gradual,pludselig,gradvis
255,sudden,slow,pludselig,langsom
256,rapid,leisurely,hurtig,adstadig
257,swift,sluggish,rap,træg
258,prompt,tardy,prompte,forsinket
259,micro,macro,mikro,makro
260,miniature,gigantic,miniature,gigantisk
261,petite,oversized,spinkel,overstørrelse
263,wide,restricted,bred,begrænset
264,expansive,limited,vidtstrakt,begrænset
265,absolutely,relatively,absolut,relativt
266,extremely,slightly,ekstremt,let
267,utterly,partially,fuldstændig,delvist
268,completely,somewhat,helt,noget
269,clockwise,counterclockwise,med uret,mod uret
270,inward,outward,indad,udad
271,positive,negative,positiv,negativ
272,equal,unequal,lige,ulige
273,odd,even,ulige,lige
274,prime,composite,primtal,sammensat tal
275,plentiful,meager,rigelig,sparsom
276,ample,insufficient,rigelig,utilstrækkelig
277,regular,irregular,regelmæssig,uregelmæssig
278,uniform,varied,ensartet,varieret
279,concordant,discordant,overensstemmende,uoverensstemmende
280,harmonious,conflicting,harmonisk,modstridende
281,aligned,misaligned,justeret,fejljusteret
282,straight,crooked,lige,skæv
283,balanced,unbalanced,afbalanceret,ubalanceret
284,symmetrical,asymmetrical,symmetrisk,asymmetrisk
285,ornate,austere,prydet,enkel
286,velvet,sandpaper,fløjl,sandpapir
287,silk,burlap,silke,sækkelærred
288,solid,liquid,fast,flydende
289,opaque,translucent,uigennemsigtig,gennemskinnelig
290,dense,porous,tæt,porøs
291,gas,solid,gas,fast stof
292,conductive,insulating,ledende,isolerende
293,permeable,impermeable,gennemtrængelig,uigennemtrængelig
294,accelerating,decelerating,accelererende,decelererende
295,increasing,decreasing,stigende,faldende
296,escalating,deescalating,eskalerende,deeskalerende
297,constant,variable,konstant,variabel
298,fixed,fluctuating,fast,svingende
300,receptive,resistant,modtagelig,modstandsdygtig
301,responsive,unresponsive,lydhør,uimodtagelig
302,sensitive,insensitive,følsom,ufølsom
303,formal,informal,formel,uformel
304,official,casual,officiel,uformel
305,refined,crude,raffineret,grov
306,elegant,sloppy,elegant,sjusket
307,verbose,concise,ordrig,kortfattet
308,eloquent,mumbling,veltalende,mumlende
309,articulate,inarticulate,velformuleret,uartikuleret
310,decorated,plain,dekoreret,enkel
311,embellished,stark,udsmykket,nøgen
312,adorned,unadorned,pyntet,upyntet
313,pristine,worn,uberørt,slidt
314,immaculate,soiled,pletfri,tilsmudset
315,flawless,marred,fejlfri,skæmmet
316,intact,broken,intakt,i stykker
317,polished,dull,poleret,mat
318,groomed,unkempt,velplejet,uplejet
319,manicured,neglected,velplejet,forsømt
320,whole,fragmented,hel,fragmenteret
321,undamaged,damaged,ubeskadiget,beskadiget
322,successful,failed,succesfuld,mislykket
323,achieved,unfulfilled,opnået,uopfyldt
324,completed,incomplete,fuldført,ufuldstændig
325,finished,unfinished,færdig,ufærdig
326,expert,amateur,ekspert,amatør
327,proficient,inept,dygtig,udygtig
328,talented,untalented,talentfuld,utalentfuld
329,competent,incompetent,kompetent,inkompetent
330,experienced,inexperienced,erfaren,uerfaren
331,seasoned,green,erfaren,grøn
332,veteran,novice,veteran,novice
333,master,apprentice,mester,lærling
334,specialist,generalist,specialist,generalist
335,focused,broad,fokuseret,bred
336,superior,subordinate,overordnet,underordnet
337,leader,follower,leder,følger
338,principal,secondary,primær,sekundær
339,independent,dependent,uafhængig,afhængig
340,self-reliant,needy,selvhjulpen,afhængig
341,autonomous,reliant,autonom,afhængig
